In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1833/1    0.006    0.000   12.441   12.441 {built-in method builtins.exec}
        1    0.000    0.000   12.441   12.441 Topology.py:1(<module>)
        2    0.002    0.001   11.196    5.598 Topology.py:88(update_states)
        3    0.277    0.092   11.195    3.732 core.py:208(run)
   642789    0.773    0.000   10.918    0.000 core.py:183(step)
   420384    0.689    0.000    8.845    0.000 events.py:380(_resume)
   280015    0.081    0.000    6.275    0.000 {method 'send' of 'generator' objects}
   224499    0.812    0.000    5.016    0.000 Bolt.py:67(run)
   140369    0.176    0.000    2.386    0.000 events.py:296(_interrupt)
   140369    0.057    0.000    1.765    0.000 {method 'throw' of 'generator' objects}
   167883    0.714    0.000    1.533    0.000 Edge.py:24(run)
    69999    1.083    0.000    1.400    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    28002    0.165    0.000    1.352    0.000 Spout.py:35(generate)
    83996    0.187    0.000    1.341    0.000 resource.py:79(__exit__)
   644773    0.575    0.000    1.262    0.000 core.py:165(schedule)
    836/9    0.005    0.000    1.244    0.138 <frozen importlib._bootstrap>:978(_find_and_load)
    832/9    0.003    0.000    1.244    0.138 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   804/10    0.003    0.000    1.242    0.124 <frozen importlib._bootstrap>:663(_load_unlocked)
   715/10    0.002    0.000    1.241    0.124 <frozen importlib._bootstrap_external>:722(exec_module)
  1040/10    0.001    0.000    1.238    0.124 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    83996    0.078    0.000    0.938    0.000 resource.py:99(__init__)
   336385    0.344    0.000    0.874    0.000 events.py:224(__init__)
   140369    0.080    0.000    0.863    0.000 events.py:370(interrupt)
    83996    0.192    0.000    0.860    0.000 base.py:94(__init__)
    83999    0.194    0.000    0.812    0.000 base.py:43(__init__)
   642789    0.789    0.000    0.789    0.000 {built-in method _heapq.heappop}
   140369    0.306    0.000    0.783    0.000 events.py:276(__init__)
   167995    0.198    0.000    0.749    0.000 base.py:212(_trigger_put)
   452/67    0.001    0.000    0.657    0.010 {built-in method builtins.__import__}
   167995    0.176    0.000    0.624    0.000 base.py:250(_trigger_get)
   644773    0.594    0.000    0.594    0.000 {built-in method _heapq.heappush}
2699/1260    0.002    0.000    0.550    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   167995    0.160    0.000    0.535    0.000 events.py:166(succeed)
   121232    0.160    0.000    0.472    0.000 resource.py:209(_do_put)
       30    0.001    0.000    0.450    0.015 __init__.py:1(<module>)
    42000    0.034    0.000    0.434    0.000 <__array_function__ internals>:2(prod)
42137/42036    0.025    0.000    0.396    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    42000    0.045    0.000    0.369    0.000 fromnumeric.py:2881(prod)
    83996    0.083    0.000    0.368    0.000 resource.py:215(_do_get)
        2    0.000    0.000    0.368    0.184 __init__.py:10(<module>)
    83999    0.107    0.000    0.363    0.000 Topology.py:169(get_network)
        3    0.000    0.000    0.355    0.118 __init__.py:15(<module>)
        1    0.000    0.000    0.333    0.333 pyplot.py:19(<module>)
        3    0.000    0.000    0.329    0.110 __init__.py:9(<module>)
    42031    0.099    0.000    0.324    0.000 fromnumeric.py:70(_wrapreduction)
        3    0.000    0.000    0.282    0.094 __init__.py:4(<module>)
        2    0.000    0.000    0.243    0.121 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.243    0.243 __init__.py:3242(_initialize_master_working_set)
   168019    0.195    0.000    0.236    0.000 typing.py:814(__new__)
    84019    0.071    0.000    0.235    0.000 graph.py:441(__getitem__)
  803/794    0.002    0.000    0.208    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       14    0.001    0.000    0.197    0.014 __init__.py:596(add_entry)
      715    0.007    0.000    0.192    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    14000    0.074    0.000    0.191    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      566    0.001    0.000    0.191    0.000 __init__.py:2032(find_on_path)
    42032    0.171    0.000    0.171    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   280738    0.170    0.000    0.170    0.000 exceptions.py:24(__init__)
   972773    0.163    0.000    0.163    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.158    0.158 __init__.py:106(<module>)
    80/77    0.000    0.000    0.152    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    80/77    0.149    0.002    0.151    0.002 {built-in method _imp.create_dynamic}
1590/1464    0.024    0.000    0.149    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.137    0.137 colorbar.py:32(<module>)
        1    0.000    0.000    0.128    0.128 figure.py:9(<module>)
   645701    0.094    0.000    0.119    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.113    0.113 __init__.py:554(_build_master)
        1    0.000    0.000    0.113    0.113 __init__.py:541(__init__)
   255828    0.112    0.000    0.112    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.103    0.034 __init__.py:7(<module>)
